riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs10913200-?	3E-54	-	NR	-	"0.0808465 unit decrease"	[0.071-0.091]	PAPPA2	Height	"body height"	-	GCST90435412	1:176552519	39134668	"Shi S"
rs10925202-?	9E-11	-	NR	-	"0.0126756 unit increase"	[0.0088-0.0165]	LINC01348,TOMM20	Height	"body height"	-	GCST90435412	1:235095276	39134668	"Shi S"
rs10933904-?	2E-10	-	NR	-	"0.011324 unit decrease"	[0.0079-0.0148]	LINC01990,BBX	Height	"body height"	-	GCST90435412	3:107515042	39134668	"Shi S"
rs10939485-?	5E-17	-	NR	-	"0.01835 unit decrease"	[0.014-0.023]	LINC01097,NKX3-2	Height	"body height"	-	GCST90435412	4:13537332	39134668	"Shi S"
rs10944076-?	7E-9	-	NR	-	"0.01257 unit decrease"	[0.0083-0.0168]	RPL31P32,TBX18	Height	"body height"	-	GCST90435412	6:85194714	39134668	"Shi S"
rs10945540-?	7E-27	-	NR	-	"0.019913 unit decrease"	[0.016-0.024]	TULP4	Height	"body height"	-	GCST90435412	6:158317943	39134668	"Shi S"
rs10947557-?	7E-40	-	NR	-	"0.0239581 unit increase"	[0.02-0.028]	TULP1,FKBP5	Height	"body height"	-	GCST90435412	6:35559588	39134668	"Shi S"
rs10948-?	2E-44	-	NR	-	"0.0256032 unit decrease"	[0.022-0.029]	SLC44A2	Height	"body height"	-	GCST90435412	19:10644229	39134668	"Shi S"
rs10949584-?	3E-9	-	NR	-	"0.0127279 unit increase"	[0.0085-0.0169]	MIR548A1HG,RPL21P61	Height	"body height"	-	GCST90435412	6:19129432	39134668	"Shi S"
rs10953083-?	5E-13	-	NR	-	"0.0126457 unit increase"	[0.0092-0.0161]	SAMD9,RN7SL7P	Height	"body height"	-	GCST90435412	7:93027720	39134668	"Shi S"
rs10963680-?	8E-14	-	NR	-	"0.015165 unit decrease"	[0.011-0.019]	ADAMTSL1	Height	"body height"	-	GCST90435412	9:18629285	39134668	"Shi S"
rs10975261-?	3E-9	-	NR	-	"0.0117362 unit decrease"	[0.0079-0.0156]	KANK1	Height	"body height"	-	GCST90435412	9:581163	39134668	"Shi S"
rs10980706-?	6E-22	-	NR	-	"0.0194925 unit decrease"	[0.016-0.023]	LPAR1,RNY4P18	Height	"body height"	-	GCST90435412	9:111041347	39134668	"Shi S"
rs10990303-?	5E-80	-	NR	-	"0.0392805 unit increase"	[0.035-0.043]	PTCH1,ERCC6L2-AS1	Height	"body height"	-	GCST90435412	9:95648123	39134668	"Shi S"
rs10993281-?	2E-12	-	NR	-	"0.0122996 unit decrease"	[0.0089-0.0157]	AOPEP,FBP1	Height	"body height"	-	GCST90435412	9:94647567	39134668	"Shi S"
rs10997943-?	2E-11	-	NR	-	"0.0118339 unit increase"	[0.0084-0.0153]	MYPN	Height	"body height"	-	GCST90435412	10:68141019	39134668	"Shi S"
rs11006752-?	2E-16	-	NR	-	"0.0155057 unit increase"	[0.012-0.019]	ODAD2	Height	"body height"	-	GCST90435412	10:27871907	39134668	"Shi S"
rs11013071-?	4E-11	-	NR	-	"0.0185609 unit increase"	[0.013-0.024]	PIP4K2A	Height	"body height"	-	GCST90435412	10:22629222	39134668	"Shi S"
rs11014285-?	3E-25	-	NR	-	"0.0242893 unit increase"	[0.02-0.029]	PRTFDC1	Height	"body height"	-	GCST90435412	10:24889935	39134668	"Shi S"
rs11048023-?	1E-12	-	NR	-	"0.0124582 unit increase"	[0.009-0.0159]	PHC1	Height	"body height"	-	GCST90435412	12:8922106	39134668	"Shi S"
rs11072450-?	1E-45	-	NR	-	"0.0286643 unit increase"	[0.025-0.033]	LOXL1	Height	"body height"	-	GCST90435412	15:73951403	39134668	"Shi S"
rs11073859-?	2E-40	-	NR	-	"0.0279212 unit decrease"	[0.024-0.032]	UBE2Q2P1	Height	"body height"	-	GCST90435412	15:84539810	39134668	"Shi S"
rs11076504-?	5E-17	-	NR	-	"0.0151298 unit increase"	[0.012-0.019]	ZNF423	Height	"body height"	-	GCST90435412	16:49855430	39134668	"Shi S"
rs11079248-?	1E-18	-	NR	-	"0.0334364 unit increase"	[0.026-0.041]	C17orf67,NOG	Height	"body height"	-	GCST90435412	17:56615688	39134668	"Shi S"
rs11096646-?	1E-21	-	NR	-	"0.0171242 unit decrease"	[0.014-0.021]	SDC1,RNU6-961P	Height	"body height"	-	GCST90435412	2:20194307	39134668	"Shi S"
rs11100870-?	5E-98	-	NR	-	"0.0366249 unit decrease"	[0.033-0.04]	ANAPC10	Height	"body height"	-	GCST90435412	4:144900862	39134668	"Shi S"
rs11107267-?	1E-13	-	NR	-	"0.0176772 unit increase"	[0.013-0.022]	CRADD,RN7SKP263	Height	"body height"	-	GCST90435412	12:93914928	39134668	"Shi S"
rs111251222-?	5E-112	-	NR	-	"0.0446964 unit increase"	[0.041-0.049]	MXD3	Height	"body height"	-	GCST90435412	5:177308611	39134668	"Shi S"
rs111345730-?	2E-14	-	NR	-	"0.0192788 unit decrease"	[0.014-0.024]	CCDC194,BST2	Height	"body height"	-	GCST90435412	19:17401127	39134668	"Shi S"
rs111391498-?	1E-32	-	NR	-	"0.0480355 unit decrease"	[0.04-0.056]	UVSSA	Height	"body height"	-	GCST90435412	4:1347765	39134668	"Shi S"
rs11141713-?	4E-21	-	NR	-	"0.0165508 unit increase"	[0.013-0.02]	DAPK1,LINC02872	Height	"body height"	-	GCST90435412	9:87224716	39134668	"Shi S"
rs11144779-?	5E-16	-	NR	-	"0.0154771 unit decrease"	[0.012-0.019]	PCSK5	Height	"body height"	-	GCST90435412	9:76177783	39134668	"Shi S"
rs11145844-?	2E-16	-	NR	-	"0.0215746 unit decrease"	[0.016-0.027]	DIPK1B	Height	"body height"	-	GCST90435412	9:136719546	39134668	"Shi S"
rs111550108-?	5E-12	-	NR	-	"0.0318239 unit increase"	[0.023-0.041]	SYNE1	Height	"body height"	-	GCST90435412	6:152140568	39134668	"Shi S"
rs11155813-?	2E-29	-	NR	-	"0.033183 unit increase"	[0.027-0.039]	ESR1	Height	"body height"	-	GCST90435412	6:151828300	39134668	"Shi S"
rs111588693-?	1E-129	-	NR	-	"0.0425755 unit increase"	[0.039-0.046]	BMP6	Height	"body height"	-	GCST90435412	6:7727038	39134668	"Shi S"
rs11170394-?	1E-15	-	NR	-	"0.0248157 unit increase"	[0.019-0.031]	SPRYD3	Height	"body height"	-	GCST90435412	12:53070188	39134668	"Shi S"
rs11176024-?	6E-20	-	NR	-	"0.0176552 unit decrease"	[0.014-0.021]	RPL21P18,RNA5SP362	Height	"body height"	-	GCST90435412	12:66062236	39134668	"Shi S"
rs11188604-?	3E-28	-	NR	-	"0.0197681 unit decrease"	[0.016-0.023]	RNU6-271P,ENTPD1-AS1	Height	"body height"	-	GCST90435412	10:96102823	39134668	"Shi S"
rs11196169-?	2E-9	-	NR	-	"0.0105221 unit decrease"	[0.0071-0.014]	TCF7L2	Height	"body height"	-	GCST90435412	10:112961478	39134668	"Shi S"
rs111965080-?	2E-24	-	NR	-	"0.0755132 unit decrease"	[0.061-0.09]	TTC28	Height	"body height"	-	GCST90435412	22:28566106	39134668	"Shi S"
rs11198898-?	2E-39	-	NR	-	"0.0266956 unit decrease"	[0.023-0.031]	GRK5	Height	"body height"	-	GCST90435412	10:119358980	39134668	"Shi S"
rs11205303-?	1E-168	-	NR	-	"0.0492481 unit increase"	[0.046-0.053]	MTMR11	Height	"body height"	-	GCST90435412	1:149934520	39134668	"Shi S"
rs112056211-?	2E-8	-	NR	-	"0.018523 unit increase"	[0.012-0.025]	NAA30,CCDC198	Height	"body height"	-	GCST90435412	14:57453701	39134668	"Shi S"
rs112168484-?	5E-14	-	NR	-	"0.0143778 unit increase"	[0.011-0.018]	YWHAQ,ADAM17	Height	"body height"	-	GCST90435412	2:9557986	39134668	"Shi S"
rs11217863-?	2E-28	-	NR	-	"0.0298134 unit decrease"	[0.025-0.035]	ARHGEF12	Height	"body height"	-	GCST90435412	11:120422429	39134668	"Shi S"
rs112187280-?	6E-15	-	NR	-	"0.0175625 unit increase"	[0.013-0.022]	USP7	Height	"body height"	-	GCST90435412	16:8973218	39134668	"Shi S"
rs11221356-?	4E-12	-	NR	-	"0.0120525 unit decrease"	[0.0087-0.0154]	ETS1	Height	"body height"	-	GCST90435412	11:128573938	39134668	"Shi S"
rs112281457-?	1E-13	-	NR	-	"0.0838282 unit increase"	[0.062-0.106]	ERN1	Height	"body height"	-	GCST90435412	17:64075698	39134668	"Shi S"
rs11233661-?	1E-11	-	NR	-	"0.0121297 unit decrease"	[0.0086-0.0156]	ANO1	Height	"body height"	-	GCST90435412	11:70089341	39134668	"Shi S"
rs112349158-?	3E-19	-	NR	-	"0.0188986 unit increase"	[0.015-0.023]	DSCC1	Height	"body height"	-	GCST90435412	8:119850528	39134668	"Shi S"
rs112369510-?	8E-14	-	NR	-	"0.0305438 unit increase"	[0.023-0.039]	LINC02774	Height	"body height"	-	GCST90435412	1:243981229	39134668	"Shi S"
rs112431913-?	7E-10	-	NR	-	"0.012 unit increase"	[0.0082-0.0158]	HAPSTR1	Height	"body height"	-	GCST90435412	16:9110948	39134668	"Shi S"
rs11247252-?	3E-19	-	NR	-	"0.0157488 unit increase"	[0.012-0.019]	LRRK1	Height	"body height"	-	GCST90435412	15:101018722	39134668	"Shi S"
rs11247294-?	1E-16	-	NR	-	"0.0192973 unit increase"	[0.015-0.024]	PCSK6	Height	"body height"	-	GCST90435412	15:101467412	39134668	"Shi S"
rs112520848-?	2E-23	-	NR	-	"0.0177621 unit decrease"	[0.014-0.021]	PRKCA	Height	"body height"	-	GCST90435412	17:66312192	39134668	"Shi S"
rs112540634-?	6E-133	-	NR	-	"0.0625725 unit increase"	[0.058-0.068]	ILRUN	Height	"body height"	-	GCST90435412	6:34656128	39134668	"Shi S"
rs11254375-?	1E-9	-	NR	-	"0.0110347 unit decrease"	[0.0075-0.0146]	CUBN	Height	"body height"	-	GCST90435412	10:17117193	39134668	"Shi S"
rs11259936-?	1E-164	-	NR	-	"0.047842 unit increase"	[0.044-0.051]	ADAMTSL3	Height	"body height"	-	GCST90435412	15:83911830	39134668	"Shi S"
rs11263465-?	1E-14	-	NR	-	"0.01953 unit increase"	[0.015-0.024]	MYEOV,LINC02956	Height	"body height"	-	GCST90435412	11:69342592	39134668	"Shi S"
rs1126464-?	1E-23	-	NR	-	"0.0201824 unit increase"	[0.016-0.024]	DPEP1	Height	"body height"	-	GCST90435412	16:89637957	39134668	"Shi S"
rs112717743-?	5E-10	-	NR	-	"0.0196815 unit decrease"	[0.013-0.026]	UBL7	Height	"body height"	-	GCST90435412	15:74456954	39134668	"Shi S"
rs113898003-?	1E-101	-	NR	-	"0.0425342 unit decrease"	[0.039-0.046]	L3MBTL3	Height	"body height"	-	GCST90435412	6:130020090	39134668	"Shi S"
rs113953597-?	1E-84	-	NR	-	"0.0418676 unit increase"	[0.038-0.046]	DNMT3A,LINC01381	Height	"body height"	-	GCST90435412	2:25222417	39134668	"Shi S"
rs11404390-?	1E-10	-	NR	-	"0.0112202 unit increase"	[0.0078-0.0146]	AFAP1L2	Height	"body height"	-	GCST90435412	10:114379057	39134668	"Shi S"
rs11404946-?	2E-40	-	NR	-	"0.0232928 unit decrease"	[0.02-0.027]	NIPBL-DT,SLC1A3-AS1	Height	"body height"	-	GCST90435412	5:36787606	39134668	"Shi S"
rs11424823-?	7E-113	-	NR	-	"0.0409627 unit increase"	[0.037-0.045]	SMIM23,FBXW11	Height	"body height"	-	GCST90435412	5:171857639	39134668	"Shi S"
rs11431511-?	8E-11	-	NR	-	"0.012478 unit increase"	[0.0087-0.0162]	PRKCE	Height	"body height"	-	GCST90435412	2:45950557	39134668	"Shi S"
rs11445001-?	3E-8	-	NR	-	"0.0114016 unit increase"	[0.0074-0.0154]	C16orf95	Height	"body height"	-	GCST90435412	16:87274031	39134668	"Shi S"
rs11450220-?	9E-19	-	NR	-	"0.0152974 unit decrease"	[0.012-0.019]	PLA2G6,MAFF	Height	"body height"	-	GCST90435412	22:38211528	39134668	"Shi S"
rs11466414-?	6E-15	-	NR	-	"0.0262922 unit decrease"	[0.02-0.033]	IFT43,TGFB3	Height	"body height"	-	GCST90435412	14:75981507	39134668	"Shi S"
rs114712971-?	4E-16	-	NR	-	"0.0262588 unit increase"	[0.02-0.033]	ZBTB20	Height	"body height"	-	GCST90435412	3:114570325	39134668	"Shi S"
rs114995907-?	2E-21	-	NR	-	"0.0166584 unit decrease"	[0.013-0.02]	LTBP1	Height	"body height"	-	GCST90435412	2:33279517	39134668	"Shi S"
rs11524015-?	6E-12	-	NR	-	"0.0120828 unit increase"	[0.0086-0.0155]	CCDC91,FAR2	Height	"body height"	-	GCST90435412	12:28839666	39134668	"Shi S"
rs11525445-?	2E-17	-	NR	-	"0.0186874 unit increase"	[0.014-0.023]	OR4C16,OR4C11	Height	"body height"	-	GCST90435412	11:55583531	39134668	"Shi S"
rs115259123-?	1E-11	-	NR	-	"0.0505013 unit decrease"	[0.036-0.065]	RGMB,DDX18P4	Height	"body height"	-	GCST90435412	5:98704360	39134668	"Shi S"
rs11540832-?	1E-24	-	NR	-	"0.0940794 unit increase"	[0.076-0.112]	DIPK1A,RPL5	Height	"body height"	-	GCST90435412	1:92837557	39134668	"Shi S"
rs11545700-?	5E-13	-	NR	-	"0.0188265 unit decrease"	[0.014-0.024]	RAB34	Height	"body height"	-	GCST90435412	17:28717464	39134668	"Shi S"
rs11546878-?	2E-16	-	NR	-	"0.0188558 unit decrease"	[0.014-0.023]	EEF1AKMT4-ECE2,EEF1AKMT4	Height	"body height"	-	GCST90435412	3:184258315	39134668	"Shi S"
rs11553387-?	3E-59	-	NR	-	"0.0337997 unit increase"	[0.03-0.038]	DDX27	Height	"body height"	-	GCST90435412	20:49225123	39134668	"Shi S"
rs11555134-?	2E-16	-	NR	-	"0.0169221 unit increase"	[0.013-0.021]	GRB10	Height	"body height"	-	GCST90435412	7:50591496	39134668	"Shi S"
rs11556924-?	4E-15	-	NR	-	"0.0139573 unit increase"	[0.01-0.017]	ZC3HC1,UBE2H-DT	Height	"body height"	-	GCST90435412	7:130023656	39134668	"Shi S"
rs1155786-?	3E-13	-	NR	-	"0.0125052 unit decrease"	[0.0091-0.0159]	TTC3	Height	"body height"	-	GCST90435412	21:37075725	39134668	"Shi S"
rs11568827-?	5E-9	-	NR	-	"0.0163867 unit increase"	[0.011-0.022]	CD79B,GH1	Height	"body height"	-	GCST90435412	17:63918869	39134668	"Shi S"
rs11568828-?	6E-95	-	NR	-	"0.0564823 unit decrease"	[0.051-0.062]	CD79B,GH1	Height	"body height"	-	GCST90435412	17:63918913	39134668	"Shi S"
rs11575580-?	5E-8	-	NR	-	"0.0325585 unit decrease"	[0.021-0.044]	IL11RA	Height	"body height"	-	GCST90435412	9:34660867	39134668	"Shi S"
rs11581328-?	7E-16	-	NR	-	"0.0174568 unit increase"	[0.013-0.022]	RERE	Height	"body height"	-	GCST90435412	1:8447713	39134668	"Shi S"
rs112723359-?	1E-39	-	NR	-	"0.0415053 unit increase"	[0.035-0.048]	FER	Height	"body height"	-	GCST90435412	5:108847157	39134668	"Shi S"
rs112728585-?	4E-19	-	NR	-	"0.0569223 unit increase"	[0.044-0.069]	CFAP299	Height	"body height"	-	GCST90435412	4:80822235	39134668	"Shi S"
rs11272962-?	5E-17	-	NR	-	"0.0160423 unit decrease"	[0.012-0.02]	ZBTB20,ZBTB20-AS5	Height	"body height"	-	GCST90435412	3:114512158	39134668	"Shi S"
rs112805476-?	1E-39	-	NR	-	"0.0260918 unit decrease"	[0.022-0.03]	MLST8	Height	"body height"	-	GCST90435412	16:2205806	39134668	"Shi S"
rs1128144-?	1E-39	-	NR	-	"0.0304476 unit decrease"	[0.026-0.035]	PLAG1	Height	"body height"	-	GCST90435412	8:56163682	39134668	"Shi S"
rs112824549-?	4E-8	-	NR	-	"0.0296798 unit decrease"	[0.019-0.04]	TRIM80P,SLC16A5	Height	"body height"	-	GCST90435412	17:75086265	39134668	"Shi S"
rs11283852-?	5E-13	-	NR	-	"0.0134051 unit increase"	[0.0098-0.017]	RNF130,RASGEF1C	Height	"body height"	-	GCST90435412	5:180077142	39134668	"Shi S"
rs112860751-?	1E-14	-	NR	-	"0.0162529 unit decrease"	[0.012-0.02]	NSF	Height	"body height"	-	GCST90435412	17:46622566	39134668	"Shi S"
rs112867328-?	2E-23	-	NR	-	"0.0658617 unit increase"	[0.053-0.079]	CFAP299	Height	"body height"	-	GCST90435412	4:80555832	39134668	"Shi S"
rs112915601-?	2E-17	-	NR	-	"0.0231943 unit decrease"	[0.018-0.029]	TNRC18	Height	"body height"	-	GCST90435412	7:5315388	39134668	"Shi S"
rs112979447-?	5E-49	-	NR	-	"0.0260453 unit decrease"	[0.023-0.03]	PLEC	Height	"body height"	-	GCST90435412	8:143940564	39134668	"Shi S"
rs11301128-?	2E-35	-	NR	-	"0.0216169 unit decrease"	[0.018-0.025]	MSRB3	Height	"body height"	-	GCST90435412	12:65303022	39134668	"Shi S"
rs113025666-?	1E-9	-	NR	-	"0.0108057 unit decrease"	[0.0073-0.0143]	PBX3,PBX3-DT	Height	"body height"	-	GCST90435412	9:125746908	39134668	"Shi S"
rs1130809-?	9E-11	-	NR	-	"0.015291 unit increase"	[0.011-0.02]	PNRC1	Height	"body height"	-	GCST90435412	6:89084175	39134668	"Shi S"
rs11313280-?	9E-17	-	NR	-	"0.0191044 unit decrease"	[0.015-0.024]	HIVEP3	Height	"body height"	-	GCST90435412	1:41866555	39134668	"Shi S"
rs113232639-?	9E-122	-	NR	-	"0.0404805 unit increase"	[0.037-0.044]	CABLES1	Height	"body height"	-	GCST90435412	18:23135692	39134668	"Shi S"
rs113289555-?	2E-36	-	NR	-	"0.0258307 unit decrease"	[0.022-0.03]	IDUA	Height	"body height"	-	GCST90435412	4:1003210	39134668	"Shi S"
rs11337240-?	3E-37	-	NR	-	"0.0248657 unit increase"	[0.021-0.029]	TMED7,H3P24	Height	"body height"	-	GCST90435412	5:115684176	39134668	"Shi S"
rs113386058-?	1E-44	-	NR	-	"0.071858 unit decrease"	[0.062-0.082]	WDR35	Height	"body height"	-	GCST90435412	2:19944070	39134668	"Shi S"
rs113388806-?	4E-14	-	NR	-	"0.0325813 unit increase"	[0.024-0.041]	TNRC6A	Height	"body height"	-	GCST90435412	16:24793633	39134668	"Shi S"
rs113429567-?	7E-13	-	NR	-	"0.0227138 unit decrease"	[0.017-0.029]	CDC5L,SUPT3H	Height	"body height"	-	GCST90435412	6:44671906	39134668	"Shi S"
rs113596078-?	4E-8	-	NR	-	"0.0390478 unit increase"	[0.025-0.053]	CRIPT,LINC01118	Height	"body height"	-	GCST90435412	2:46690219	39134668	"Shi S"
rs113847264-?	7E-11	-	NR	-	"0.0172747 unit increase"	[0.012-0.022]	PLS1	Height	"body height"	-	GCST90435412	3:142662114	39134668	"Shi S"
rs113849736-?	5E-19	-	NR	-	"0.0524678 unit decrease"	[0.041-0.064]	LINC02160,LINC02120	Height	"body height"	-	GCST90435412	5:33019401	39134668	"Shi S"
rs11388918-?	5E-11	-	NR	-	"0.012461 unit decrease"	[0.0087-0.0162]	TGFBR1,COL15A1	Height	"body height"	-	GCST90435412	9:99095821	39134668	"Shi S"
rs115816414-?	9E-9	-	NR	-	"0.0265741 unit increase"	[0.018-0.036]	PPP1R21-DT,FOXN2	Height	"body height"	-	GCST90435412	2:48439914	39134668	"Shi S"
rs11583447-?	6E-9	-	NR	-	"0.0104616 unit increase"	[0.0069-0.014]	PAPPA2	Height	"body height"	-	GCST90435412	1:176552213	39134668	"Shi S"
rs11586372-?	4E-14	-	NR	-	"0.0136411 unit increase"	[0.01-0.017]	CLIC4,RUNX3	Height	"body height"	-	GCST90435412	1:24860658	39134668	"Shi S"
rs115866594-?	9E-15	-	NR	-	"0.0231454 unit decrease"	[0.017-0.029]	RN7SL66P,RRM2	Height	"body height"	-	GCST90435412	2:10261802	39134668	"Shi S"
rs11588850-?	1E-91	-	NR	-	"0.0470297 unit decrease"	[0.042-0.052]	SNAP47	Height	"body height"	-	GCST90435412	1:227739541	39134668	"Shi S"
rs115910760-?	8E-11	-	NR	-	"0.0242853 unit increase"	[0.017-0.032]	LINC02808,HMGB1P45	Height	"body height"	-	GCST90435412	1:50340783	39134668	"Shi S"
rs11596328-?	1E-24	-	NR	-	"0.0282416 unit increase"	[0.023-0.034]	SH3PXD2A	Height	"body height"	-	GCST90435412	10:103733419	39134668	"Shi S"
rs115970863-?	5E-10	-	NR	-	"0.0194088 unit decrease"	[0.013-0.026]	ITPKB	Height	"body height"	-	GCST90435412	1:226717680	39134668	"Shi S"
rs11598614-?	2E-8	-	NR	-	"0.0112593 unit decrease"	[0.0073-0.0152]	ZCCHC24	Height	"body height"	-	GCST90435412	10:79406998	39134668	"Shi S"
rs11598726-?	1E-10	-	NR	-	"0.011168 unit decrease"	[0.0078-0.0146]	C10orf71,DRGX	Height	"body height"	-	GCST90435412	10:49328968	39134668	"Shi S"
rs11600815-?	6E-24	-	NR	-	"0.0381695 unit increase"	[0.031-0.046]	PDE3B	Height	"body height"	-	GCST90435412	11:14775681	39134668	"Shi S"
rs11610142-?	2E-27	-	NR	-	"0.0332424 unit decrease"	[0.027-0.039]	GPR19,CDKN1B	Height	"body height"	-	GCST90435412	12:12692447	39134668	"Shi S"
rs11612462-?	2E-14	-	NR	-	"0.0177411 unit increase"	[0.013-0.022]	GLT8D2	Height	"body height"	-	GCST90435412	12:104017590	39134668	"Shi S"
rs11614580-?	2E-21	-	NR	-	"0.0178799 unit increase"	[0.014-0.022]	RNU4-20P,LINC02448	Height	"body height"	-	GCST90435412	12:59572842	39134668	"Shi S"
rs11620822-?	4E-18	-	NR	-	"0.0181304 unit increase"	[0.014-0.022]	SAMD4A	Height	"body height"	-	GCST90435412	14:54735777	39134668	"Shi S"
rs11621360-?	9E-17	-	NR	-	"0.0151708 unit increase"	[0.012-0.019]	NGDN,MYH7	Height	"body height"	-	GCST90435412	14:23442198	39134668	"Shi S"
rs11623966-?	2E-8	-	NR	-	"0.0114134 unit decrease"	[0.0074-0.0154]	RAD51B	Height	"body height"	-	GCST90435412	14:68667813	39134668	"Shi S"
rs11628554-?	1E-15	-	NR	-	"0.0354549 unit increase"	[0.027-0.044]	TC2N	Height	"body height"	-	GCST90435412	14:91805450	39134668	"Shi S"
rs116305580-?	3E-9	-	NR	-	"0.0512491 unit decrease"	[0.034-0.068]	GMDS	Height	"body height"	-	GCST90435412	6:2233087	39134668	"Shi S"
rs11642740-?	6E-29	-	NR	-	"0.0196616 unit increase"	[0.016-0.023]	TLCD3B	Height	"body height"	-	GCST90435412	16:30049334	39134668	"Shi S"
rs11645649-?	1E-22	-	NR	-	"0.0172247 unit increase"	[0.014-0.021]	CTRB2,ZFP1	Height	"body height"	-	GCST90435412	16:75177449	39134668	"Shi S"
rs116467226-?	6E-14	-	NR	-	"0.0990663 unit decrease"	[0.073-0.125]	TPRG1	Height	"body height"	-	GCST90435412	3:189097132	39134668	"Shi S"
rs11648796-?	8E-61	-	NR	-	"0.0339071 unit increase"	[0.03-0.038]	CIAO3,MSLN	Height	"body height"	-	GCST90435412	16:742190	39134668	"Shi S"
rs11651783-?	3E-12	-	NR	-	"0.0145497 unit decrease"	[0.01-0.019]	TNFSF12,Y_RNA	Height	"body height"	-	GCST90435412	17:7544593	39134668	"Shi S"
rs7954542-?	1E-11	-	NR	-	"0.0120835 unit decrease"	[0.0086-0.0156]	SLCO1B1	Height	"body height"	-	GCST90435412	12:21223575	39134668	"Shi S"
rs7955800-?	5E-17	-	NR	-	"0.0146927 unit decrease"	[0.011-0.018]	H4C16,GUCY2C-AS1	Height	"body height"	-	GCST90435412	12:14761111	39134668	"Shi S"
rs79604877-?	3E-9	-	NR	-	"0.0374912 unit decrease"	[0.025-0.05]	RPL31P17,ACSL3	Height	"body height"	-	GCST90435412	2:222802234	39134668	"Shi S"
rs7962087-?	2E-17	-	NR	-	"0.0155166 unit decrease"	[0.012-0.019]	CCDC91,FAR2	Height	"body height"	-	GCST90435412	12:28924614	39134668	"Shi S"
rs79626908-?	1E-13	-	NR	-	"0.0371813 unit decrease"	[0.027-0.047]	ADCY6-DT,Y_RNA	Height	"body height"	-	GCST90435412	12:48796032	39134668	"Shi S"
rs79635751-?	8E-20	-	NR	-	"0.0400239 unit increase"	[0.031-0.049]	ZBTB20	Height	"body height"	-	GCST90435412	3:114914681	39134668	"Shi S"
rs79719935-?	5E-22	-	NR	-	"0.0181504 unit decrease"	[0.014-0.022]	ANO1,FGF3	Height	"body height"	-	GCST90435412	11:69918384	39134668	"Shi S"
rs79741989-?	3E-10	-	NR	-	"0.0250708 unit increase"	[0.017-0.033]	CROCC2	Height	"body height"	-	GCST90435412	2:240991829	39134668	"Shi S"
rs7976110-?	2E-15	-	NR	-	"0.0150557 unit increase"	[0.011-0.019]	DNAH10	Height	"body height"	-	GCST90435412	12:123765271	39134668	"Shi S"
rs7977765-?	6E-24	-	NR	-	"0.0206156 unit decrease"	[0.017-0.025]	RIC8B	Height	"body height"	-	GCST90435412	12:106811612	39134668	"Shi S"
rs798488-?	1E-198	-	NR	-	"0.0569348 unit decrease"	[0.053-0.061]	GNA12,AMZ1	Height	"body height"	-	GCST90435412	7:2762888	39134668	"Shi S"
rs79860296-?	1E-12	-	NR	-	"0.0197171 unit increase"	[0.014-0.025]	TBC1D24	Height	"body height"	-	GCST90435412	16:2487169	39134668	"Shi S"
rs79875959-?	1E-17	-	NR	-	"0.0404797 unit decrease"	[0.031-0.05]	ZNF619P1,HMGN1P19	Height	"body height"	-	GCST90435412	7:46271450	39134668	"Shi S"
rs7988592-?	2E-20	-	NR	-	"0.0208712 unit decrease"	[0.016-0.025]	XPO4	Height	"body height"	-	GCST90435412	13:20889882	39134668	"Shi S"
rs79886065-?	2E-10	-	NR	-	"0.0281525 unit decrease"	[0.019-0.037]	WDR73	Height	"body height"	-	GCST90435412	15:84646648	39134668	"Shi S"
rs79891104-?	8E-19	-	NR	-	"0.0201863 unit decrease"	[0.016-0.025]	LUZP1	Height	"body height"	-	GCST90435412	1:23104157	39134668	"Shi S"
rs79950365-?	1E-10	-	NR	-	"0.0214444 unit decrease"	[0.015-0.028]	CMIP	Height	"body height"	-	GCST90435412	16:81516511	39134668	"Shi S"
rs79983664-?	2E-9	-	NR	-	"0.0409159 unit decrease"	[0.028-0.054]	KLHL28,TOGARAM1	Height	"body height"	-	GCST90435412	14:44979067	39134668	"Shi S"
rs80068856-?	7E-9	-	NR	-	"0.0290883 unit decrease"	[0.019-0.039]	CRISPLD2	Height	"body height"	-	GCST90435412	16:84883324	39134668	"Shi S"
rs80107551-?	8E-21	-	NR	-	"0.0294181 unit increase"	[0.023-0.036]	SOST,WHSC1L2P	Height	"body height"	-	GCST90435412	17:43731006	39134668	"Shi S"
rs8013972-?	6E-9	-	NR	-	"0.013457 unit decrease"	[0.0089-0.018]	LINC01500	Height	"body height"	-	GCST90435412	14:58805776	39134668	"Shi S"
rs80221690-?	2E-20	-	NR	-	"0.023713 unit increase"	[0.019-0.029]	MRPS16P2,PRELID3B	Height	"body height"	-	GCST90435412	20:59109811	39134668	"Shi S"
rs8023409-?	2E-15	-	NR	-	"0.0192922 unit increase"	[0.015-0.024]	IRAIN,FAM169BP	Height	"body height"	-	GCST90435412	15:98560404	39134668	"Shi S"
rs8032414-?	1E-93	-	NR	-	"0.0431183 unit increase"	[0.039-0.047]	ADAMTSL3	Height	"body height"	-	GCST90435412	15:83727217	39134668	"Shi S"
